date,price
2024-09-09,957.76302
2024-09-10,957.430504
2024-09-11,957.741278
2024-09-12,959.995667
2024-09-13,958.043112
2024-09-14,959.250402
2024-09-15,959.249945
2024-09-16,960.448297
2024-09-17,961.241401
2024-09-18,962.250058
2024-09-19,962.754297
2024-09-20,961.531104
2024-09-21,961.359012
2024-09-22,962.642198
2024-09-23,965.2327
2024-09-24,965.262902
2024-09-25,968.500099
2024-09-26,967.232698
2024-09-27,965.466231
2024-09-28,965.466231
2024-09-29,965.617504
2024-09-30,968.767443
2024-10-01,969.592296
2024-10-02,970.245698
2024-10-03,971.736897
2024-10-04,975.742773
2024-10-05,975.742773
2024-10-06,976.734404
2024-10-07,974.829898
2024-10-08,974.254402
2024-10-09,974.741097
2024-10-11,973.490388
